Date,Category,Amount
01/01/2024,Compensation,1
01/01/2024,Food,-1
01/01/2024,Home,-1
01/01/2024,Utilities,-1
01/01/2024,Transportation,-1
01/01/2024,Entertainment,-1
01/01/2024,Appearance,-1
01/01/2024,Work,-1
01/01/2024,Education,-1
01/01/2024,Professional Services,-1
01/01/2024,Other,-1
01/01/2024,Allowance,1
01/01/2024,Investments,1
01/01/2024,Other,1
02/29/2024,Compensation,1
02/29/2024,Food,-1
02/29/2024,Home,-1
03/15/2024,Compensation,1
03/15/2024,Food,-1
03/15/2024,Transportation,-1
03/15/2024,Utilities,-1
03/15/2024,Entertainment,-1
03/15/2024,Appearance,-1
03/15/2024,Work,-1
03/15/2024,Education,-1
03/15/2024,Professional Services,-1
03/15/2024,Other,-1
03/15/2024,Allowance,1
03/15/2024,Investments,1
03/15/2024,Other,1
12/31/2024,Compensation,1
12/31/2024,Food,-1
12/31/2024,Home,-1
12/31/2024,Utilities,-1
12/31/2024,Transportation,-1
12/31/2024,Entertainment,-1
12/31/2024,Appearance,-1
12/31/2024,Work,-1
12/31/2024,Education,-1
12/31/2024,Professional Services,-1
12/31/2024,Other,-1
12/31/2024,Allowance,1
12/31/2024,Investments,1
12/31/2024,Other,1
06/15/2024,Compensation,999999
06/15/2024,Food,-999999
09/01/2024,Compensation,1
09/01/2024,Food,-1
10/01/2024,Compensation,1
10/01/2024,Food,-1